raceId,driverId,lap,position,time,milliseconds
989,839,16,14,1:30.720,90720
989,839,15,14,1:30.626,90626
989,839,14,14,1:30.520,90520
989,839,13,14,1:30.587,90587
989,839,12,14,1:30.647,90647
989,839,11,14,1:30.968,90968
989,839,10,14,1:31.446,91446
989,839,9,14,1:32.583,92583
989,839,8,13,1:31.556,91556
989,839,7,13,1:31.559,91559
989,839,6,13,1:31.906,91906
989,839,5,13,1:31.337,91337
989,839,4,13,1:31.912,91912
989,839,3,13,1:32.581,92581
989,839,2,13,1:32.955,92955
989,839,1,13,1:42.906,102906
989,815,58,11,1:29.220,89220
989,815,57,11,1:27.850,87850
989,815,56,11,1:28.338,88338
989,815,55,11,1:28.284,88284
989,815,54,11,1:28.093,88093
989,815,53,11,1:28.381,88381
989,815,52,11,1:28.477,88477
989,815,51,11,1:27.633,87633
989,815,50,11,1:28.079,88079
989,815,49,11,1:28.006,88006
989,815,48,11,1:28.026,88026
989,815,47,11,1:28.282,88282
989,815,46,11,1:28.354,88354
989,815,45,11,1:28.439,88439
989,815,44,11,1:28.283,88283
989,815,43,11,1:28.169,88169
989,815,42,11,1:27.998,87998
989,815,41,11,1:28.286,88286
989,815,40,11,1:28.798,88798
989,815,39,11,1:28.353,88353
989,815,38,11,1:28.509,88509
989,815,37,11,1:29.125,89125
989,815,36,11,1:28.718,88718
989,815,35,11,1:29.421,89421
989,815,34,11,1:30.401,90401
989,815,33,11,1:30.192,90192
989,815,32,11,1:32.302,92302
989,815,31,11,2:04.778,124778
989,815,30,11,1:50.355,110355
989,815,29,11,1:39.003,99003
989,815,28,11,2:01.772,121772
989,815,27,11,2:04.224,124224
989,815,26,11,2:03.659,123659
989,815,25,11,1:50.397,110397
989,815,24,13,1:48.875,108875
989,815,23,9,1:30.241,90241
989,815,22,10,1:31.254,91254
989,815,21,11,1:30.665,90665
989,815,20,12,1:30.344,90344
989,815,19,12,1:30.653,90653
989,815,18,12,1:30.280,90280
989,815,17,12,1:30.380,90380
989,815,16,12,1:30.412,90412
989,815,15,12,1:30.511,90511
989,815,14,12,1:30.553,90553
989,815,13,12,1:30.560,90560
989,815,12,12,1:30.876,90876
989,815,11,12,1:30.419,90419
989,815,10,12,1:30.922,90922
989,815,9,12,1:30.859,90859
989,815,8,12,1:30.922,90922
989,815,7,12,1:31.838,91838
989,815,6,12,1:31.558,91558
989,815,5,12,1:31.160,91160
989,815,4,12,1:31.372,91372
989,815,3,12,1:32.004,92004
989,815,2,12,1:32.896,92896
989,815,1,12,1:42.341,102341
989,838,58,9,1:27.676,87676
989,838,57,9,1:26.958,86958
989,838,56,9,1:27.091,87091
989,838,55,9,1:27.381,87381
989,838,54,9,1:27.220,87220
989,838,53,9,1:27.710,87710
989,838,52,9,1:28.110,88110
989,838,51,9,1:28.126,88126
989,838,50,9,1:27.979,87979
989,838,49,9,1:28.220,88220
989,838,48,9,1:27.778,87778
989,838,47,9,1:27.961,87961
989,838,46,9,1:27.888,87888
989,838,45,9,1:28.404,88404
989,838,44,9,1:28.038,88038
989,838,43,9,1:28.114,88114
989,838,42,9,1:27.838,87838
989,838,41,9,1:27.989,87989
989,838,40,9,1:28.355,88355
989,838,39,9,1:28.257,88257
989,838,38,9,1:28.474,88474
989,838,37,9,1:28.848,88848
989,838,36,9,1:28.532,88532
989,838,35,9,1:30.065,90065
